i;T_Z;k_f;distance_12;distance_13;distance_14;distance_23;distance_24;distance_34;px_1;py_1;pz_1;vx_1;vy_1;vz_1;px_2;py_2;pz_2;vx_2;vy_2;vz_2;px_3;py_3;pz_3;vx_3;vy_3;vz_3;px_4;py_4;pz_4;vx_4;vy_4;vz_4
0;0.3;0.5;0.914196423571832;0.833479992089452;1.01502313570767;1.1426410209224;0.907694707511116;0.44727526496249;-0.261234968900681;-0.637936472892761;0.0985947027802467;0.0174987930804491;-0.019544567912817;0.0965497344732285;-0.349012523889542;0.272036164999008;0.0732221826910973;0.0241909045726061;0.0187806710600853;0.0480683892965317;0.547510862350464;-0.436394721269608;0.0767196267843246;0.00706664239987731;0.0438139103353024;0.0520229935646057;0.520047843456268;0.0100366231054068;0.0947041809558868;-0.0250530056655407;-0.0345336571335793;0.116852521896362
1;0.3;0.5;0.918299274461017;0.833356494056295;1.009025268754;1.14008970305695;0.904508245468143;0.438614534513469;-0.259070605039597;-0.640026569366455;0.108980938792229;0.0129145020619035;-0.012569721788168;0.115642346441746;-0.346308320760727;0.274119555950165;0.0786893591284752;0.0239709876477718;0.0190212838351727;0.0600149929523468;0.548121511936188;-0.432845652103424;0.0807628110051155;-0.00136486336123198;0.0590973943471909;0.0406665131449699;0.517134606838226;0.00467294361442328;0.107015326619148;-0.0168334376066923;-0.0302938427776098;0.117956541478634
2;0.3;0.5;0.922919827800906;0.834056264465433;1.00647536719752;1.13446680518205;0.90229451148312;0.428185277517105;-0.25780838727951;-0.643342196941376;0.124976843595505;0.00409782398492098;-0.01581653021276;0.173919722437859;-0.344093531370163;0.275535315275192;0.0899439081549645;0.0123611744493246;0.00990806147456169;0.133861213922501;0.547438561916351;-0.426023989915848;0.0871962979435921;-0.0194469708949327;0.0648335367441177;0.0831693932414055;0.515409052371979;0.000961656682193279;0.118922412395477;-0.0109306760132313;-0.0254671406000853;0.128383576869965
3;0.3;0.5;0.924213107933055;0.834041907766875;1.00176067677115;1.12518106718813;0.901836359287361;0.411564119950544;-0.257220178842545;-0.644000589847565;0.144831880927086;-0.00101110397372395;-0.00453310646116734;0.215714380145073;-0.343626618385315;0.276164501905441;0.107692569494247;0.00212630722671747;0.00116728967987001;0.200550317764282;0.544628500938416;-0.414512902498245;0.103080272674561;-0.0433240123093128;0.0922221541404724;0.155543759465218;0.513547301292419;-0.00412408215925097;0.137269213795662;-0.00947411078959703;-0.0323079563677311;0.157514870166779
4;0.3;0.5;0.920319397519126;0.829840763240659;0.990882803462874;1.11362117082169;0.900556625866586;0.392535135473832;-0.25539219379425;-0.641205191612244;0.163538157939911;0.0050918273627758;0.0198288131505251;0.209662720561028;-0.343168556690216;0.274918764829636;0.126782700419426;0.0097481207922101;-0.0266209114342928;0.218451827764511;0.539752304553986;-0.403758525848389;0.120876610279083;-0.0437132008373737;0.0950112715363503;0.162066251039505;0.510349214076996;-0.01232616789639;0.158583119511604;-0.00950342230498791;-0.0718745812773705;0.197937697172165
5;0.3;0.5;0.920719169448364;0.828791577302846;0.982258797889797;1.1072115728218;0.901134257754547;0.375749522825967;-0.254816114902496;-0.6385697722435;0.184479549527168;0.000842025561723858;0.0247564427554607;0.207299187779427;-0.340530574321747;0.278150916099548;0.15367603302002;0.0261697228997946;-0.0265013687312603;0.233047887682915;0.537712275981903;-0.396094560623169;0.136100873351097;-0.0203393790870905;0.0674451589584351;0.181104063987732;0.509353041648865;-0.0214167553931475;0.177159309387207;-0.00365749420598149;-0.0991857275366783;0.189694851636887
6;0.3;0.5;0.912028624222287;0.828958491596535;0.971024300675966;1.09481541293344;0.896985323414312;0.356221004937319;-0.25310680270195;-0.638038218021393;0.204774275422096;0.00227795843966305;0.0103426054120064;0.166143491864204;-0.334177523851395;0.270380049943924;0.181568846106529;0.0403195023536682;-0.052608847618103;0.204235643148422;0.538215935230255;-0.391095906496048;0.156026318669319;0.00360538391396403;0.0273957755416632;0.167719721794128;0.508828580379486;-0.0360891632735729;0.200016781687736;0.00100946763996035;-0.111762478947639;0.165690883994102
7;0.3;0.5;0.921417107054589;0.832664012929204;0.963942974144869;1.10690051056439;0.907739274773393;0.345718492264912;-0.251859724521637;-0.638638734817505;0.218921095132828;0.00138577038887888;-0.00100449298042804;0.128992438316345;-0.34015229344368;0.278538405895233;0.184376522898674;0.0394729971885681;-0.075944796204567;0.163925006985664;0.542591869831085;-0.389287531375885;0.174179464578629;0.0386656634509563;-0.0164858009666204;0.183675289154053;0.507849395275116;-0.0453191660344601;0.218331515789032;-0.00287098228000104;-0.0544543042778969;0.138355672359467
8;0.3;0.5;0.917537940984944;0.837067553900269;0.960996697457987;1.11080321378586;0.90281093643634;0.349814559435308;-0.251624405384064;-0.638975918292999;0.228753939270973;-0.00706742750480771;-0.00687927892431617;0.0878529995679855;-0.338623315095901;0.274428188800812;0.194716289639473;0.0123034613206983;-0.050394345074892;0.101417027413845;0.548724949359894;-0.393775999546051;0.192601308226585;0.0537497699260712;-0.0563506260514259;0.192872852087021;0.505149900913239;-0.0466860383749008;0.232909336686134;-0.0242554061114788;0.00908938050270081;0.106263749301434
9;0.3;0.5;0.912395218152425;0.842225725376057;0.958161926965424;1.11537424299735;0.893646141347631;0.359209047102063;-0.251054733991623;-0.63919872045517;0.236349850893021;-0.00500763487070799;-0.00427683210000396;0.0794671773910522;-0.337515413761139;0.26909065246582;0.205601021647453;0.00623928895220161;-0.0605206489562988;0.102816097438335;0.556033432483673;-0.39846470952034;0.21009860932827;0.0732957571744919;-0.0752113163471222;0.191426903009415;0.499595552682877;-0.0437170453369617;0.240084111690521;-0.0600904747843742;0.033017061650753;0.0657733678817749
