i;T_Z;k_f;k_v;safety_radius;distance_12;distance_13;distance_14;distance_23;distance_24;distance_34;px_1;py_1;pz_1;vx_1;vy_1;vz_1;px_2;py_2;pz_2;vx_2;vy_2;vz_2;px_3;py_3;pz_3;vx_3;vy_3;vz_3;px_4;py_4;pz_4;vx_4;vy_4;vz_4
0;0.3;15.5;5.2;0.4;1.02083798749777;0.937781718048395;1.61503087477379;1.21830577463153;1.30727952440506;0.834726668841449;-0.479937195777893;1.65594637393951;0.0610358715057373;0.00445449212566018;-0.0068192076869309;0.0768708735704422;-0.378577053546906;2.67173981666565;0.0147326774895191;0.0184340216219425;0.0559034496545792;0.13231335580349;0.449813902378082;1.7784104347229;0.042183306068182;-0.00459571136161685;0.0272040534764528;0.0576942339539528;0.913437247276306;2.4725444316864;0.0570036843419075;-0.0140038896352053;0.00381951290182769;0.108410619199276
1;0.3;15.5;5.2;0.4;1.02635103040796;0.937495354722077;1.61396448914914;1.21982169614753;1.30522783302157;0.833195595498423;-0.479076981544495;1.655717253685;0.0659850835800171;0.0134498327970505;0.00068810093216598;0.0927753075957298;-0.376476258039474;2.67692708969116;0.0249125007539988;0.0267679654061794;0.0568669624626637;0.0875305160880089;0.450156182050705;1.77990770339966;0.0471341051161289;0.00407152529805899;0.0202953945845366;0.0572238937020302;0.91270911693573;2.47291541099548;0.0689939185976982;-0.00151529803406447;0.00414858851581812;0.13857501745224
2;0.3;15.5;5.2;0.4;1.02334765857815;0.935272865077687;1.60545343674019;1.21557203068569;1.29397212447858;0.829220059326816;-0.476565062999725;1.65890002250671;0.075958713889122;0.0203601736575365;0.0149800563231111;0.142674744129181;-0.37243127822876;2.67693567276001;0.0159666836261749;0.0236494950950146;0.0301213674247265;0.00325212231837213;0.45052969455719;1.78231251239777;0.0540650933980942;-0.00141087628435344;0.0251675080507994;0.0817594528198242;0.90575098991394;2.47540664672852;0.103689558804035;-0.0196020863950253;0.00803389679640532;0.214465484023094
3;0.3;15.5;5.2;0.4;1.02213596640122;0.932184783051786;1.59936859929587;1.21302150435383;1.29017357127222;0.825139697713883;-0.473925769329071;1.6618674993515;0.0964364036917686;0.0203636214137077;0.0231591872870922;0.226125702261925;-0.370140045881271;2.67872071266174;0.0410846807062626;-0.00208896305412054;0.0116161797195673;0.179852113127708;0.450084656476975;1.78504705429077;0.0647761821746826;-0.00485783908516169;0.0347138904035091;0.159571498632431;0.903734505176544;2.4742910861969;0.123180195689201;-0.0299065429717302;-0.044507697224617;0.261569291353226
4;0.3;15.5;5.2;0.4;1.02260118673617;0.93064387907462;1.5888008031436;1.21146963123739;1.29304096822123;0.808263276351938;-0.471858292818069;1.66016352176666;0.111835472285748;0.0151726333424449;-0.00272405403666198;0.209350571036339;-0.372368007898331;2.67791342735291;0.0612350516021252;-0.0451442748308182;-0.0294394046068192;0.262788444757462;0.449928015470505;1.78825736045837;0.0830094069242477;-0.000239489541854709;0.0359337851405144;0.241541177034378;0.901894211769104;2.45834398269653;0.143112123012543;-0.0359547585248947;-0.155570641160011;0.24117386341095
5;0.3;15.5;5.2;0.4;1.00769748409906;0.931279835819746;1.57601284395042;1.19847995316429;1.30158998343933;0.779967697111814;-0.471952587366104;1.65734696388245;0.127220988273621;0.00369213032536209;-0.0200645886361599;0.180764406919479;-0.376567035913467;2.66051983833313;0.086446724832058;-0.0516002364456654;-0.117944106459618;0.254854798316956;0.449509561061859;1.79221594333649;0.112045176327229;-0.00738748768344522;0.0345041416585445;0.27333790063858;0.903766691684723;2.42625069618225;0.152895197272301;-0.0267229899764061;-0.254115492105484;0.193617448210716
6;0.3;15.5;5.2;0.4;0.985453789583594;0.929755394059234;1.55528571097376;1.19569729892544;1.30959947771981;0.755890071655391;-0.46708881855011;1.66822028160095;0.149999469518662;0.0172235257923603;0.027513537555933;0.226267665624619;-0.381374508142471;2.64993929862976;0.106270998716354;-0.0570524744689465;-0.132868394255638;0.249961987137794;0.454049557447434;1.79451036453247;0.140756368637085;0.0102091990411282;0.0224876441061497;0.266844838857651;0.904454708099365;2.40155649185181;0.163957640528679;-0.0239729303866625;-0.2797671854496;0.120741620659828
7;0.3;15.5;5.2;0.4;0.966828101165863;0.929871737790564;1.53774407586414;1.18838926966382;1.31490616758218;0.72983013202843;-0.464857935905457;1.67280554771423;0.168711632490158;0.0158822555094957;0.0203078556805849;0.182669281959534;-0.385215222835541;2.63634777069092;0.152576103806496;-0.0385026261210442;-0.115013435482979;0.316082298755646;0.45660987496376;1.79753935337067;0.169822439551353;0.0145752159878612;0.00606805272400379;0.225729897618294;0.903383731842041;2.37463998794556;0.175199627876282;-0.0269166696816683;-0.260136932134628;0.160343945026398
8;0.3;15.5;5.2;0.4;0.951180464184624;0.932151391752376;1.52280326764541;1.18402109409272;1.31938686947059;0.706084519231196;-0.463331490755081;1.6764315366745;0.181657269597054;0.00923976115882397;0.00998896919190884;0.145133942365646;-0.388593435287476;2.62467122077942;0.169808238744736;-0.0248017832636833;-0.109896928071976;0.203676491975784;0.460643500089645;1.79962420463562;0.192156597971916;0.0200589075684547;-0.00704809837043285;0.186773538589478;0.902042210102081;2.35073447227478;0.190042927861214;-0.0411673933267593;-0.240143343806267;0.168236151337624
9;0.3;15.5;5.2;0.4;0.943066875133385;0.941255086189495;1.5047649163863;1.17964763682894;1.31756563811717;0.669634882172775;-0.461767047643662;1.67898428440094;0.193885892629623;0.00739507051184773;0.00849455315619707;0.141389429569244;-0.388404190540314;2.61919331550598;0.192854329943657;-0.016574677079916;-0.0868443474173546;0.189507722854614;0.470276683568955;1.8103449344635;0.199445739388466;0.0286917705088854;-0.00180685252416879;0.149268224835396;0.896341800689697;2.32694864273071;0.20035208761692;-0.0585103221237659;-0.236859425902367;0.158080130815506
