i;T_Z;k_f;k_v;safety_radius;distance_12;distance_13;distance_14;distance_23;distance_24;distance_34;px_1;py_1;pz_1;vx_1;vy_1;vz_1;px_2;py_2;pz_2;vx_2;vy_2;vz_2;px_3;py_3;pz_3;vx_3;vy_3;vz_3;px_4;py_4;pz_4;vx_4;vy_4;vz_4
0;0.3;15.5;5.2;0.4;1.07574632456519;1.18548285985333;1.45047393348053;1.51321880257277;1.2941795178024;0.614527545863983;-0.356115251779556;0.777604401111603;0.0744298845529556;0.0108951153233647;-0.00149958056863397;0.0759164392948151;-0.371314078569412;1.85324335098267;0.0554835461080074;0.0015101240715012;0.0316179879009724;0.0619137100875378;0.820659935474396;0.921026051044464;0.0709498524665833;0.00279350252822042;0.0441118516027927;0.0520103499293327;0.882473707199097;1.53243684768677;0.101825341582298;-0.011162624694407;-0.0199837535619736;0.141145005822182
1;0.3;15.5;5.2;0.4;1.08012644062391;1.18551274738439;1.44582041317349;1.51235450963347;1.29195919751476;0.606871923196987;-0.354120433330536;0.776465713977814;0.081701822578907;0.00254141306504607;-0.00179065892007202;0.0917033180594444;-0.370101571083069;1.85647392272949;0.0611868053674698;0.0130319111049175;0.0310409478843212;0.0672384798526764;0.82195371389389;0.925764322280884;0.0767172649502754;0.00316037237644196;0.0381622165441513;0.0798776671290398;0.879892289638519;1.52986419200897;0.115083664655685;-0.0180855952203274;-0.0226027276366949;0.151215866208076
2;0.3;15.5;5.2;0.4;1.0815406185266;1.18519697670214;1.43928418459995;1.50974691608468;1.29123162814234;0.594746519838401;-0.352447211742401;0.775507390499115;0.0954850390553474;0.000815683044493198;-0.00223022606223822;0.17306587100029;-0.36934033036232;1.85691606998444;0.0701687335968018;0.000389656168408692;-0.00987223815172911;0.130243256688118;0.822598040103912;0.930299282073975;0.0870106443762779;-0.00525569682940841;0.0424205586314201;0.1443160623312;0.877828001976013;1.52247583866119;0.12476059794426;-0.0196994766592979;-0.0870081633329392;0.149081200361252
3;0.3;15.5;5.2;0.4;1.07788597591439;1.18432796674115;1.42826925195387;1.5038582410713;1.29142155419678;0.574491289944365;-0.350315481424332;0.774849772453308;0.114548444747925;0.00972146075218916;0.0058694020844996;0.221874579787254;-0.369064152240753;1.85257267951965;0.0900732204318047;-0.00965564884245396;-0.0579641126096249;0.20904329419136;0.823027551174164;0.935781002044678;0.105374105274677;-0.0149032808840275;0.0413399785757065;0.205532044172287;0.875504076480866;1.50787055492401;0.145366415381432;-0.0127137443050742;-0.163426384329796;0.204231441020966
4;0.3;15.5;5.2;0.4;1.06761967553176;1.1822510557887;1.41571225584262;1.49601438148297;1.29338874332358;0.552342509836887;-0.347762405872345;0.77677983045578;0.136663809418678;0.0166809558868408;0.0226316470652819;0.235130876302719;-0.369813144207001;1.84417176246643;0.112114615738392;-0.00808718800544739;-0.100393056869507;0.236638262867928;0.822992920875549;0.941247224807739;0.128478974103928;-0.0156140495091677;0.0374274589121342;0.221633195877075;0.8744757771492;1.49118518829346;0.168577611446381;-0.00595222041010857;-0.204613879323006;0.247152522206306
5;0.3;15.5;5.2;0.4;1.0542451785543;1.18020187661447;1.39957333494308;1.48793180739674;1.2958399094239;0.525708535688987;-0.344777166843414;0.779569089412689;0.158304125070572;0.0179627817124128;0.0297071542590857;0.220228776335716;-0.369438827037811;1.8335257768631;0.133735299110413;0.00136261899024248;-0.129568949341774;0.239321514964104;0.823820233345032;0.944664776325226;0.149556025862694;-0.00780911650508642;0.0226023234426975;0.208187788724899;0.873777866363525;1.46799421310425;0.196281522512436;-0.00179140456020832;-0.237215504050255;0.246383100748062
6;0.3;15.5;5.2;0.4;1.03438519754206;1.17827022916811;1.38332018796994;1.47627344034434;1.29590509034808;0.499307545290479;-0.342254847288132;0.78296959400177;0.177974760532379;0.0169064830988646;0.0317851379513741;0.195203363895416;-0.368171334266663;1.81703007221222;0.161907330155373;0.0118190525099635;-0.148463398218155;0.219607219099998;0.824532866477966;0.947064578533173;0.170168086886406;-0.00660231662914157;0.00800501182675362;0.205838099122047;0.872891545295715;1.44402480125427;0.221540749073029;-0.00642797816544771;-0.248637318611145;0.196878001093864
7;0.3;15.5;5.2;0.4;1.01819269384087;1.1770978151088;1.36711713158362;1.46826573641805;1.29654601286083;0.47410301101895;-0.339899778366089;0.785857439041138;0.194546014070511;0.014904310926795;0.0252358745783567;0.152488872408867;-0.366096138954163;1.80371308326721;0.179792135953903;0.0210632234811783;-0.153875917196274;0.1767208725214;0.826148092746735;0.946766197681427;0.185399979352951;-0.00499216048046947;-0.0159951709210873;0.17677965760231;0.871950387954712;1.41865158081055;0.237228110432625;-0.0114765139296651;-0.255753308534622;0.117234647274017
8;0.3;15.5;5.2;0.4;1.00001791788318;1.17520039383327;1.3485395332473;1.45910957690432;1.29837967070258;0.443801702214744;-0.337492078542709;0.788270890712738;0.210798218846321;0.0105113815516233;0.0124030718579888;0.124981038272381;-0.363160073757172;1.7879593372345;0.196841776371002;0.0249857306480408;-0.149627327919006;0.133112281560898;0.827306687831879;0.944283068180084;0.20568336546421;-0.00418763281777501;-0.0416709668934345;0.145756229758263;0.87139630317688;1.38588929176331;0.24241279065609;-0.00648664683103561;-0.260222345590591;0.0342178680002689
9;0.3;15.5;5.2;0.4;0.984915843990806;1.17318901037902;1.33671140597255;1.45141749269856;1.2962706472467;0.428064832193387;-0.335931658744812;0.789492905139923;0.222021490335464;0.00652792071923614;0.0039219344034791;0.119509674608707;-0.360497891902924;1.77410233020782;0.210625663399696;0.0247902385890484;-0.140022456645966;0.115997694432735;0.827523589134216;0.940305173397064;0.217641174793243;-0.0126516222953796;-0.0528273619711399;0.130867823958397;0.869942963123322;1.36626303195953;0.232980012893677;-0.0165464524179697;-0.235847860574722;-0.0222293920814991
