i;T_Z;k_f;distance_12;distance_13;distance_14;distance_23;distance_24;distance_34;px_1;py_1;pz_1;vx_1;vy_1;vz_1;px_2;py_2;pz_2;vx_2;vy_2;vz_2;px_3;py_3;pz_3;vx_3;vy_3;vz_3;px_4;py_4;pz_4;vx_4;vy_4;vz_4
0;0.3;15.5;1.68537519768338;1.46067628869991;1.23859005011517;0.32604951092656;1.21394136992546;1.25408452280972;-0.184650138020515;-0.638609051704407;0.0117410775274038;0.0102804126217961;0.0106147546321154;0.000436985166743398;1.06225109100342;0.495289921760559;0.0117388078942895;0.0103073352947831;0.0106463804841042;0.000429865292971954;0.736201584339142;0.495237201452255;0.0117456475272775;0.00995395518839359;0.0102694751694798;0.000452752923592925;1.05135405063629;-0.718602538108826;0.0117422491312027;0.0107240984216332;0.0110853435471654;0.000407021754654124
1;0.3;15.5;1.68540011036332;1.46039446124184;1.23858743268442;0.326638998082951;1.21396158693781;1.25432796721182;-0.184715375304222;-0.638675332069397;0.0144697520881891;0.00894023571163416;0.009304104372859;0.0716459378600121;1.06220424175262;0.495240449905396;0.0139601025730371;0.00870188884437084;0.00909802317619324;0.0813429653644562;0.73556524515152;0.495271563529968;0.0154201900586486;-0.015273367986083;0.0102166943252087;0.119516395032406;1.05128598213196;-0.718672037124634;0.0144747337326407;0.00864008441567421;0.00920882541686296;0.0916281640529633
2;0.3;15.5;1.68548407192808;1.45246104779198;1.23855452447891;0.339586956702374;1.21404461317246;1.25783713186127;-0.185377031564713;-0.639361917972565;0.0345636866986752;0.000819249427877367;0.000449032755568624;0.235108718276024;1.06160986423492;0.494604676961899;0.0334738008677959;0.000345991225913167;-0.000405587023124099;0.232747182250023;0.722022950649262;0.494775801897049;0.0402785018086433;-0.214230537414551;-0.000258882064372301;0.28727200627327;1.05058932304382;-0.719389915466309;0.0345891192555428;-0.000335275661200285;-0.000670820823870599;0.24141751229763
3;0.3;15.5;1.68549376930217;1.42907153534043;1.23847079588971;0.377074339627988;1.2141132935835;1.2678463447062;-0.187042847275734;-0.641215205192566;0.0599569752812386;-0.0095502445474267;-0.0119068762287498;0.234079733490944;1.059983253479;0.492722690105438;0.0587568283081055;-0.00947319157421589;-0.0127246519550681;0.234557151794434;0.682908952236176;0.492552548646927;0.0692777633666992;-0.484388440847397;-0.0219099707901478;0.252498686313629;1.04883337020874;-0.721339404582977;0.059996884316206;-0.0106381308287382;-0.0131179085001349;0.234161451458931
4;0.3;15.5;1.68539805828934;1.39059296188381;1.23834270861871;0.439186546375299;1.21413339024789;1.28546547473045;-0.189557567238808;-0.644123375415802;0.0795810520648956;-0.0173194408416748;-0.0215509869158268;0.184682279825211;1.05746948719025;0.48967120051384;0.0789264589548111;-0.0175399892032146;-0.0236061867326498;0.184104740619659;0.618287146091461;0.48774927854538;0.0894206836819649;-0.715999305248261;-0.0520573779940605;0.188440263271332;1.04617977142334;-0.724409699440002;0.0796111598610878;-0.0191307626664639;-0.023835651576519;0.18037123978138
5;0.3;15.5;1.68513618391806;1.34623918676541;1.23810136270186;0.511561050912062;1.21412288089004;1.30758681363601;-0.192596197128296;-0.647754490375519;0.094314455986023;-0.0222587119787931;-0.0285011045634747;0.148955419659615;1.05428445339203;0.485811829566956;0.0944053158164024;-0.032136682420969;-0.0319638811051846;0.169409602880478;0.542757511138916;0.479904532432556;0.10756878554821;-0.763683140277863;-0.0847157090902329;0.193859741091728;1.04288518428803;-0.728257536888123;0.0946193039417267;-0.0285361688584089;-0.0310017932206392;0.15794549882412
6;0.3;15.5;1.68074775204505;1.30739425846604;1.23629284981307;0.568831489218481;1.21372971922444;1.32617708392489;-0.195800185203552;-0.6517094373703;0.107409045100212;-0.0237047094851732;-0.0314018242061138;0.134589552879334;1.04568767547607;0.481260508298874;0.111607328057289;-0.124455586075783;-0.040046937763691;0.177989542484283;0.476982116699219;0.469291776418686;0.125749841332436;-0.623148083686829;-0.109981991350651;0.173285394906998;1.03785371780396;-0.732443928718567;0.109620079398155;-0.0537236109375954;-0.033556092530489;0.151365116238594
7;0.3;15.5;1.66669587208053;1.27968857786232;1.23146573261142;0.592460014463717;1.21249502521174;1.3349860497629;-0.198903501033783;-0.655659258365631;0.120072185993195;-0.0226737838238478;-0.0311511028558016;0.126622170209885;1.02486038208008;0.475834041833878;0.12729623913765;-0.254361897706985;-0.0503849796950817;0.138006746768951;0.432690143585205;0.457306295633316;0.139851167798042;-0.404431343078613;-0.117318011820316;0.118389487266541;1.02989602088928;-0.73665052652359;0.123224757611752;-0.0847092866897583;-0.0336776562035084;0.128019243478775
8;0.3;15.5;1.64229045013908;1.26394968986436;1.22347994163232;0.580661061661483;1.21035150425356;1.33349258384565;-0.201767757534981;-0.659393668174744;0.13218854367733;-0.0202269218862057;-0.0287555735558271;0.117755472660065;0.991220533847809;0.46927672624588;0.13811519742012;-0.37913778424263;-0.0633711367845535;0.0979581326246262;0.411023288965225;0.446072727441788;0.148012429475784;-0.187272235751152;-0.105546087026596;0.0673772990703583;1.01900386810303;-0.74075585603714;0.134695127606392;-0.113041505217552;-0.0327035263180733;0.109865352511406
9;0.3;15.5;1.60934593347293;1.25831146704541;1.21275473504741;0.541000329056775;1.20762583197499;1.32499566000391;-0.204196736216545;-0.662574112415314;0.142522573471069;-0.0172695834189653;-0.0249759536236525;0.108066938817501;0.947565972805023;0.461453020572662;0.147522866725922;-0.470886468887329;-0.0767252519726753;0.0984183326363564;0.407106429338455;0.437269598245621;0.153909340500832;-0.0167339574545622;-0.0777036249637604;0.0647565126419067;1.00576937198639;-0.744769394397736;0.145424082875252;-0.131086081266403;-0.0317015163600445;0.10375864058733
