i;T_Z;k_f;distance_12;distance_13;distance_14;distance_23;distance_24;distance_34;px_1;py_1;pz_1;vx_1;vy_1;vz_1;px_2;py_2;pz_2;vx_2;vy_2;vz_2;px_3;py_3;pz_3;vx_3;vy_3;vz_3;px_4;py_4;pz_4;vx_4;vy_4;vz_4
0;0.3;0.5;1.68537864867198;1.46075557730441;1.23850928388679;0.325999856015454;1.21403288239126;1.25419302075437;-0.184926852583885;-0.638802349567413;0.0117480410262942;0.00925137847661972;0.0103590879589319;-0.000238880747929215;1.06197321414948;0.495103031396866;0.0117487963289022;0.00835545547306538;0.00950835179537535;-0.000221463298657909;0.735973358154297;0.495106667280197;0.0117487153038383;0.00797145441174507;0.00910312868654728;-0.000208330893656239;1.05099093914032;-0.718880176544189;0.0117498999461532;0.00854810513556004;0.0096961222589016;-0.000218654982745647
1;0.3;0.5;1.68507219228442;1.46071290933687;1.23841211415807;0.325617671051371;1.21394899235731;1.25407151641903;-0.184959322214127;-0.638841092586517;0.0127375926822424;0.00913936644792557;0.00983438827097416;0.0453200675547123;1.06159710884094;0.494986653327942;0.0148570602759719;-0.00579060427844524;0.00767047563567758;0.100694343447685;0.735979437828064;0.494981646537781;0.0153027568012476;0.00894695799797773;0.00513966474682093;0.109081260859966;1.05086135864258;-0.718914866447449;0.0149869006127119;0.00426933448761702;0.00926380511373282;0.100030459463596
2;0.3;0.5;1.68103144603526;1.4601309170833;1.23714773166876;0.320416291544384;1.21335507328085;1.25276687657898;-0.184906184673309;-0.639153778553009;0.0290833991020918;0.0106022227555513;0.00460325321182609;0.219859689474106;1.0566498041153;0.494162350893021;0.0385718904435635;-0.071815051138401;-0.00434127170592546;0.282414138317108;0.736233770847321;0.493755519390106;0.0367619469761848;0.0112540135160089;-0.0087161548435688;0.243477374315262;1.04965102672577;-0.719172537326813;0.0355006828904152;-0.0105200055986643;0.00540482532233;0.241311892867088
3;0.3;0.5;1.6707892813569;1.45891022491367;1.23402241866444;0.307385797204121;1.21167893077474;1.24978124949292;-0.184700310230255;-0.640244007110596;0.0548966750502586;0.0120323784649372;-0.0039181518368423;0.246590808033943;1.04419183731079;0.491728127002716;0.0670939534902573;-0.146211892366409;-0.0212353989481926;0.250081717967987;0.736807465553284;0.490792006254196;0.0631171688437462;0.0146085387095809;-0.0252872928977013;0.24081663787365;1.04674541950226;-0.71994811296463;0.0604912862181664;-0.0272901207208633;-2.15276959352195E-05;0.232091978192329
4;0.3;0.5;1.65494066217371;1.45724891829673;1.22921864614157;0.287324492312905;1.209015834116;1.24545600121278;-0.1842932254076;-0.64205527305603;0.0761141926050186;0.0144620900973678;-0.00994598679244518;0.193492591381073;1.02504920959473;0.487687826156616;0.0861981734633446;-0.211597204208374;-0.0374384932219982;0.169792279601097;0.737727522850037;0.486418098211288;0.082740493118763;0.0183303486555815;-0.0379614867269993;0.18079848587513;1.04237461090088;-0.721203863620758;0.0800119563937187;-0.0410861521959305;-0.0045121512375772;0.17980207502842
5;0.3;0.5;1.63427435043562;1.45541977497783;1.22313798083003;0.261374400552866;1.20553623207857;1.24042154310476;-0.18365241587162;-0.644263327121735;0.0914725735783577;0.016815546900034;-0.0133495777845383;0.151783734560013;1.00037050247192;0.482210099697113;0.0996459349989891;-0.258852571249008;-0.0507855005562305;0.133260518312454;0.738997578620911;0.481331497430801;0.0967883691191673;0.0220649093389511;-0.0446786396205425;0.1428282558918;1.03696346282959;-0.722770631313324;0.0951937586069107;-0.0495084300637245;-0.0070227044634521;0.147354543209076
6;0.3;0.5;1.611761231359;1.45357134972319;1.21651094939087;0.233253209098615;1.20174041674051;1.23516786095155;-0.182727783918381;-0.646555721759796;0.104793563485146;0.0193954668939114;-0.0135328648611903;0.135619029402733;0.973888337612152;0.475947469472885;0.111637823283672;-0.277536273002625;-0.058907724916935;0.126628383994102;0.74063515663147;0.476061999797821;0.109361037611961;0.0254393462091684;-0.0457327924668789;0.129584580659866;1.03128862380981;-0.724421322345734;0.108403429389;-0.0516376830637455;-0.007838842459023;0.132809773087502
7;0.3;0.5;1.58893729044769;1.451852119685;1.20990498196833;0.205011158498885;1.19788225270623;1.23020711703121;-0.181604698300362;-0.648660778999329;0.117545008659363;0.0213816687464714;-0.0112366657704115;0.1278435587883;0.947476506233215;0.469327300786972;0.124137386679649;-0.271163254976273;-0.0607644207775593;0.125543057918549;0.742473363876343;0.47114023566246;0.121563583612442;0.0274855121970177;-0.0421734787523747;0.123112574219704;1.02582657337189;-0.725989878177643;0.121226392686367;-0.0492267273366451;-0.00681400997564197;0.127960696816444
8;0.3;0.5;1.56746100775705;1.45027651812186;1.20361672339549;0.178616305191464;1.19433355920177;1.22571714548184;-0.180334448814392;-0.650445103645325;0.129917025566101;0.0226988531649113;-0.00785050634294748;0.119377374649048;0.922975182533264;0.462946951389313;0.136741146445274;-0.25044122338295;-0.0568446554243565;0.119858674705029;0.744399785995483;0.466769546270371;0.133403733372688;0.0282233916223049;-0.0365137010812759;0.115123488008976;1.02082145214081;-0.72737181186676;0.133745774626732;-0.0441550761461258;-0.00463386392220855;0.120166830718517
9;0.3;0.5;1.54806072794238;1.44880483609002;1.19806189571434;0.154739446552238;1.19135580966608;1.22168292802071;-0.178990408778191;-0.651906132698059;0.141473144292831;0.0233838055282831;-0.004637585952878;0.10950131714344;0.90095591545105;0.457241266965866;0.148023650050163;-0.225918605923653;-0.0490604266524315;0.103050775825977;0.74632066488266;0.462918907403946;0.144521966576576;0.0280294772237539;-0.0312292873859406;0.106037862598896;1.01662147045136;-0.72848641872406;0.144465371966362;-0.0387441329658031;-0.00179634022060782;0.107313066720963
