i;T_Z;k_f;safety_radius;distance_12;distance_13;distance_14;distance_23;distance_24;distance_34;px_1;py_1;pz_1;vx_1;vy_1;vz_1;px_2;py_2;pz_2;vx_2;vy_2;vz_2;px_3;py_3;pz_3;vx_3;vy_3;vz_3;px_4;py_4;pz_4;vx_4;vy_4;vz_4
10;0.3;0.5;0.4;1.66345169127785;1.33561827678825;1.21685223804432;0.344578428290289;1.22885829545046;1.11461796872397;-0.178339257836342;-0.651264846324921;0.214119702577591;0.0283486843109131;0.0102367829531431;0.127334043383598;1.02993559837341;0.492038875818253;0.213826715946197;-0.0423388220369816;0.0279692523181438;0.128356710076332;0.724041283130646;0.333410501480103;0.214437961578369;0.0318786464631557;-0.131854817271233;0.124808646738529;1.03550255298615;-0.736806809902191;0.215404957532883;-0.00409971456974745;-0.00195149681530893;0.126206144690514
11;0.3;0.5;0.4;1.6590473337456;1.3277729825325;1.21430578620172;0.343640824389807;1.23125440964616;1.1039634171152;-0.176758050918579;-0.651317238807678;0.226279810070992;0.0266508925706148;0.00879549980163574;0.113679125905037;1.02395009994507;0.493557423353195;0.227176144719124;-0.0492070987820625;0.0260387528687716;0.114793129265308;0.726001977920532;0.322338461875916;0.226489841938019;0.0296836271882057;-0.108297728002071;0.113264955580235;1.03447473049164;-0.737652003765106;0.227467179298401;-0.00436555268242955;-0.00199071248061955;0.112939827144146
12;0.3;0.5;0.4;1.65460697407626;1.32097157025893;1.21182961580694;0.342800115731737;1.23303584133637;1.09490235024644;-0.175293281674385;-0.651573479175568;0.237214475870132;0.0259968936443329;0.0072134998627007;0.102397322654724;1.01825356483459;0.494362890720367;0.237206801772118;-0.0533645525574684;0.0234931614249945;0.101930201053619;0.727528989315033;0.312728255987167;0.23742164671421;0.0254034996032715;-0.0958471745252609;0.102282106876373;1.03340888023376;-0.73857980966568;0.238268777728081;-0.00463811727240682;-0.00261438288725913;0.100972212851048
13;0.3;0.5;0.4;1.64979092103003;1.31421903563583;1.20931705352022;0.342043940005606;1.23505171701659;1.08639367797868;-0.173814758658409;-0.651988446712494;0.247046053409576;0.0264452751725912;0.00607115076854825;0.0921229273080826;1.01177370548248;0.495264828205109;0.24702562391758;-0.0567496120929718;0.0225175991654396;0.0908735692501068;0.728575110435486;0.3034508228302;0.247226193547249;0.0212059877812862;-0.0939791202545166;0.0916071608662605;1.03232336044312;-0.739615917205811;0.247931256890297;-0.00471767690032721;-0.00343556725420058;0.090689554810524
14;0.3;0.5;0.4;1.64476392062595;1.30687537918302;1.20670989205209;0.342079015362027;1.237225514201;1.07758768357088;-0.172233060002327;-0.65248715877533;0.255799770355225;0.0274482574313879;0.00553064048290253;0.0814345851540566;1.00495874881744;0.496193736791611;0.255890876054764;-0.0602827295660973;0.0228882730007172;0.081294871866703;0.729279935359955;0.293661653995514;0.25589519739151;0.0185894854366779;-0.0993274599313736;0.0805172324180603;1.03124439716339;-0.740752518177033;0.256538391113281;-0.00461146282032132;-0.00419932883232832;0.0805116593837738
15;0.3;0.5;0.4;1.63948597555174;1.29874832188703;1.20400975859869;0.343032625556696;1.23962271558831;1.06802210606904;-0.170527786016464;-0.652996122837067;0.26367774605751;0.0285393409430981;0.00561477895826101;0.0743476003408432;0.997746527194977;0.497242718935013;0.263974338769913;-0.0638879835605621;0.0240346342325211;0.0737443640828133;0.729866802692413;0.282972246408463;0.263651132583618;0.018191147595644;-0.107227362692356;0.0732330083847046;1.03019106388092;-0.7419553399086;0.264356255531311;-0.0043122093193233;-0.00460581388324499;0.0742870941758156
16;0.3;0.5;0.4;1.63415342302297;1.29002511447743;1.20125031698345;0.345042781536339;1.24209031761457;1.05766042241078;-0.168716460466385;-0.653456032276154;0.270781129598618;0.0294284950941801;0.00615916633978486;0.0661581307649612;0.990544140338898;0.498313158750534;0.270846605300903;-0.0673118829727173;0.0251865424215794;0.0653910636901856;0.730564177036285;0.271454304456711;0.270645558834076;0.0198928620666266;-0.113909170031548;0.0654066726565361;1.02917861938477;-0.743176162242889;0.271456331014633;-0.00390078546479344;-0.00464506540447474;0.0662943720817566
17;0.3;0.5;0.4;1.62887877436607;1.28108475245837;1.19846357740089;0.347943046671478;1.24451489278429;1.04676958828475;-0.166828289628029;-0.653829038143158;0.277191340923309;0.0301284436136484;0.0070267696864903;0.060439869761467;0.98358416557312;0.499339312314987;0.276600778102875;-0.0705797299742699;0.0259977392852306;0.0599402040243149;0.73153567314148;0.259472846984863;0.276963531970978;0.0228272173553705;-0.116519957780838;0.0595471188426018;1.02820992469788;-0.744375228881836;0.27784475684166;-0.00351977697573602;-0.0043878061696887;0.0601982139050961
18;0.3;0.5;0.4;1.6232023333857;1.27236748825541;1.19568689204221;0.350880542917072;1.24727015803979;1.03581938279472;-0.164886504411697;-0.654100477695465;0.283074975013733;0.0305853597819805;0.00795876327902079;0.0553640238940716;0.975814640522003;0.500709772109985;0.282371699810028;-0.0730090886354446;0.0271302293986082;0.0548789799213409;0.732826292514801;0.247581705451012;0.282741874456406;0.025833498686552;-0.113574810326099;0.054384246468544;1.02730214595795;-0.745497226715088;0.283208012580872;-0.00343933328986168;-0.00423216726630926;0.0553051382303238
19;0.3;0.5;0.4;1.61745518710381;1.26426649611855;1.19288865546965;0.353835747131331;1.25018358771275;1.02541933422697;-0.162924140691757;-0.65428638458252;0.288421332836151;0.0306305792182684;0.00864515267312527;0.0496808625757694;0.967866837978363;0.502205312252045;0.287689417600632;-0.0736887380480766;0.0278804432600737;0.0495496466755867;0.734368026256561;0.236351892352104;0.28798109292984;0.0278520323336124;-0.105248473584652;0.0487350896000862;1.0263866186142;-0.746607899665833;0.288494884967804;-0.00332576339133084;-0.00386744295246899;0.0497362427413464
20;0.3;0.5;0.4;1.61179253265266;1.25703387398758;1.19011585067141;0.356617413284112;1.25315444810549;1.01600090287434;-0.160979330539703;-0.6544269323349;0.29324746131897;0.0303850397467613;0.00898187328130007;0.0451419167220593;0.959949612617493;0.503758490085602;0.292555570602417;-0.0724852159619331;0.0283300969749689;0.0456756614148617;0.736019194126129;0.22621363401413;0.292707920074463;0.0284710358828306;-0.0934330448508263;0.0444034226238728;1.0254772901535;-0.747681558132172;0.293335199356079;-0.0033295676112175;-0.003574148286134;0.045560110360384
21;0.3;0.5;0.4;1.60594404769727;1.25071746365854;1.18737415220372;0.358834455228266;1.25633992759691;1.00777569420792;-0.159069120883942;-0.654559075832367;0.297631174325943;0.0300472099334002;0.00902839563786984;0.0406626313924789;0.951497793197632;0.505482912063599;0.297468930482864;-0.069294236600399;0.0286258384585381;0.0410856790840626;0.737641930580139;0.217337399721146;0.297052025794983;0.0279552284628153;-0.0806815102696419;0.0406106486916542;1.02456474304199;-0.748730480670929;0.297789812088013;-0.00343250832520425;-0.00345342908985913;0.0412954464554787
22;0.3;0.5;0.4;1.60071579212197;1.2450727883297;1.18446492529212;0.36122646094151;1.25932133000201;1.00070433430348;-0.156996309757233;-0.654717803001404;0.302025586366653;0.0299322362989187;0.00899022910743952;0.036748118698597;0.944183349609375;0.507045686244965;0.301527947187424;-0.0654289647936821;0.0288388133049011;0.0372428968548775;0.739152073860168;0.209645733237267;0.301083743572235;0.0267671458423138;-0.0691301375627518;0.0374303385615349;1.02364885807037;-0.749765932559967;0.301855981349945;-0.00350704556331038;-0.00343405664898455;0.0373228676617146
23;0.3;0.5;0.4;1.59590883915562;1.24012750883682;1.18174757432158;0.363539412744196;1.26230199843246;0.994574252361123;-0.155105158686638;-0.654872119426727;0.305703639984131;0.0300438161939383;0.00898567400872707;0.0336778424680233;0.937245607376099;0.508611798286438;0.30523693561554;-0.0616572499275208;0.0291648879647255;0.0337557531893253;0.740519225597382;0.202900111675262;0.304840594530106;0.0253837704658508;-0.0599321164190769;0.0346429534256458;1.02274322509766;-0.750791430473328;0.305568814277649;-0.00345686473883688;-0.00342799886129796;0.0340658947825432
24;0.3;0.5;0.4;1.5913760394195;1.23555068331786;1.17902597406986;0.365903313809865;1.26529899594146;0.989125216507409;-0.153194591403008;-0.655030012130737;0.309043347835541;0.0302090104669332;0.00895556900650263;0.0301991365849972;0.930653810501099;0.510195434093475;0.308574944734573;-0.0580389015376568;0.0294453427195549;0.0302550252526999;0.741751968860626;0.19682452082634;0.308280497789383;0.0241468586027622;-0.0533607490360737;0.0313612520694733;1.02185237407684;-0.751812636852264;0.308923989534378;-0.00335814105346799;-0.00345527054741979;0.0306131523102522
25;0.3;0.5;0.4;1.58709579534003;1.23119245829792;1.17622060666147;0.368433843042657;1.26841360178484;0.984179836949447;-0.151265561580658;-0.655189514160156;0.312001317739487;0.0303622093051672;0.00894987303763628;0.0266692247241735;0.924379765987396;0.511798143386841;0.311540901660919;-0.0547332316637039;0.0298152826726437;0.0268179457634687;0.742893636226654;0.191163957118988;0.311348527669907;0.0234617590904236;-0.0490684844553471;0.0277545917779207;1.02088630199432;-0.752938807010651;0.312191039323807;-0.00323057500645518;-0.00349467061460018;0.0268288981169462
26;0.3;0.5;0.4;1.58305552534985;1.22698180740172;1.17349325956251;0.371201539667266;1.27147003273551;0.979399518910331;-0.149326637387276;-0.655342876911163;0.314704656600952;0.0304515715688467;0.00902339350432158;0.0243587922304869;0.918390810489655;0.513436079025269;0.314257353544235;-0.0516076236963272;0.0302795153111219;0.0245978701859713;0.74401718378067;0.185740455985069;0.314148843288422;0.023589950054884;-0.0463058426976204;0.0253650210797787;1.020015001297;-0.753966212272644;0.314894765615463;-0.00314187118783593;-0.00351776927709579;0.0245410818606615
27;0.3;0.5;0.4;1.57922953818652;1.22290589978707;1.1707580698821;0.374215997612734;1.27458943861619;0.974750640739011;-0.147378489375114;-0.655475378036499;0.317185819149017;0.0306483805179596;0.00927933864295483;0.0222868528217077;0.912640750408173;0.515133500099182;0.316761910915375;-0.0483258962631226;0.03070511482656;0.0224001295864582;0.745201766490936;0.180466800928116;0.316705405712128;0.0244282111525536;-0.0442032814025879;0.0230848416686058;1.01914179325104;-0.754998683929443;0.317364186048508;-0.00312596466392279;-0.00357653456740081;0.0223681814968586
